code,value
"08546",3727557
"08564",10710
"09201",-875464
"09202",-108428
"09203",376864
"09204",-40015
"09205",22150
"09206",294849
"09208",485334
"09209",-37493
"09210",47212
"09211",97557
"09213",236069
"09214",-2242
"09215",-173
"09216",-147661
"09301",-20757
"09342",33578
"09343",29304
"09344",-4777
"09345",-7433
"09361",28179
"09364",2549
"09384",4025
"09386",-41454
"09407",296819
"09411",36703
"10201",-400810
"10202",-386170
"10203",-37809
"10204",-191043
"10205",-115412
"10206",51682
"10207",31212
"10208",138912
"10209",-22878
"10210",148061
"10211",66307
"10212",-26387
"10344",445203
"10345",-8406
"10366",2500
"10367",5649
"10382",54368
"10383",1880
"10384",22883
"10421",280816
"10424",34751
"10425",100645
"10426",696753
"10428",7590
"10429",1727
"10443",57071
"10444",42661
"10448",758535
"10449",270850
"10464",62585
"10521",4268
"10522",20299
"10523",266438
"10524",18447
"10525",-5465
"11100",-5350085
"11201",-542542
"11202",-252969
"11203",-1271898
"11206",-36937
"11207",555458
"11208",-644052
"11209",184100
"11210",-74403
"11211",-47145
"11212",-112361
"11214",-256443
"11215",-137535
"11216",99620
"11217",-75149
"11218",239555
"11219",-364236
"11221",-439098
"11222",-709330
"11223",-118450
"11224",-390533
"11225",-170929
"11227",-360229
"11228",-145401
"11229",-288990
"11230",-260474
"11231",-101847
"11232",-200833
"11233",508722
"11234",-175633
"11235",-213269
"11237",-219116
"11238",-90444
"11239",-79123
"11240",-39031
"11241",116083
"11242",240580
"11243",-49452
"11245",-210958
"11246",-70220
"11301",-50071
"11324",269439
"11326",-6104
"11327",-1172
"11341",-31051
"11342",-11379
"11343",-2258
"11346",34237
"11347",92922
"11348",17487
"11349",-6676
"11361",43597
"11362",994
"11363",9645
"11365",27318
"11369",2576
"11381",27794
"11383",1115
"11385",-15838
"11408",-4983
"11442",2094
"11464",-11447
"11465",-23500
"12100",-3429412
"12202",274191
"12203",-1691660
"12204",-1150560
"12205",217663
"12206",-107013
"12207",-1050338
"12208",-109004
"12210",-29591
"12211",-22502
"12212",-325832
"12213",-13600
"12215",25392
"12216",-573791
"12217",-886572
"12218",955358
"12219",123208
"12220",-658186
"12221",-341118
"12222",-263829
"12223",334380
"12224",-163721
"12225",483447
"12226",332941
"12227",-914200
"12228",-148809
"12229",-40024
"12230",33519
"12231",-240405
"12232",-2283
"12233",-30075
"12234",445443
"12235",27667
"12236",170208
"12237",-5863
"12238",421052
"12239",67617
"12322",-959
"12329",61718
"12342",2008
"12347",189371
"12349",-1289
"12403",53817
"12409",13372
"12410",66540
"12421",129094
"12422",2452
"12423",1072593
"12424",124294
"12426",35185
"12427",12583
"12441",113047
"12443",55136
"12463",33079
"13101",-1276187
"13102",-2312722
"13103",-3873323
"13104",-2544677
"13105",-1888100
"13106",-977117
"13107",-524348
"13108",-3245819
"13109",-3040894
"13110",-2638856
"13111",-3092602
"13112",-5706248
"13113",-2920275
"13114",-1536078
"13115",-2813175
"13116",-1553922
"13117",-1362526
"13118",-813850
"13119",-1709129
"13120",-2264561
"13121",-1575589
"13122",-1005502
"13123",-1930060
"13201",-1001331
"13202",-495912
"13203",-867955
"13204",-759720
"13205",-69341
"13206",-355888
"13207",-167448
"13208",-896832
"13209",-899190
"13210",-455144
"13211",-545853
"13212",-462030
"13213",-161744
"13214",-432992
"13215",-200763
"13218",-79017
"13219",-254429
"13220",-123481
"13221",-142095
"13222",-252895
"13223",-65114
"13224",-370697
"13225",-300384
"13227",-79292
"13228",-84324
"13229",-563252
"13303",-27342
"13305",-14131
"13307",1688
"13308",-456
"13361",-4229
"13362",362
"13363",-2292
"13364",7127
"13381",-1010
"13382",-362
"13401",296770
"13402",211
"13421",2668
"14100",-17400024
"14130",-7917421
"14150",-1341531
"14201",-473677
"14203",-214279
"14204",409758
"14205",-1252508
"14206",279139
"14207",-476632
"14208",8753
"14210",754937
"14211",22748
"14212",577335
"14213",-429683
"14214",-124012
"14215",491215
"14216",-187515
"14217",2789006
"14218",601256
"14301",-58625
"14321",-12345
"14341",-44250
"14342",-33947
"14361",158897
"14362",15249
"14363",76135
"14364",800877
"14366",332710
"14382",863201
"14383",4205
"14384",258160
"14401",-15764
"14402",35263
"15100",-1014616
"15202",1630589
"15204",644835
"15205",296734
"15206",487995
"15208",516979
"15209",353957
"15210",195926
"15211",37619
"15212",347179
"15213",4847706
"15216",52129
"15217",80119
"15218",97545
"15222",-125599
"15223",235962
"15224",321025
"15225",2452101
"15226",3377493
"15227",1189461
"15307",108061
"15342",433999
"15361",12909
"15385",294611
"15405",26522
"15461",485598
"15482",171123
"15504",-1432
"15581",23402
"15586",18665
"16201",-456543
"16202",167442
"16204",213070
"16205",380339
"16206",158
"16207",11441
"16208",-22357
"16209",18791
"16210",26961
"16211",128810
"16321",17369
"16322",18142
"16323",75628
"16342",295
"16343",80689
"17201",-599708
"17202",354935
"17203",187751
"17204",408111
"17205",123710
"17206",207915
"17207",363108
"17209",323794
"17210",-9664
"17211",13684
"17212",-72234
"17324",690
"17361",-16317
"17365",-17218
"17384",127215
"17386",45845
"17407",4929
"17461",66663
"17463",163266
"18201",-66725
"18202",3345935
"18204",208835
"18205",59512
"18206",74341
"18207",192819
"18208",89748
"18209",381047
"18210",1209722
"18322",905
"18382",111
"18404",49843
"18423",150083
"18442",175734
"18481",49304
"18483",12391
"18501",148015
"19201",974324
"19202",5767970
"19204",1215256
"19205",1653406
"19206",752695
"19207",280255
"19208",1206371
"19209",488777
"19210",654259
"19211",1361466
"19212",16928
"19213",1168138
"19214",166999
"19346",386949
"19364",9239
"19365",23327
"19366",726
"19368",95553
"19384",-18002
"19422",44870
"19423",11724
"19424",52270
"19425",244275
"19429",7899
"19430",606718
"19442",3846
"19443",64780
"20201",486712
"20202",-211099
"20203",326308
"20204",57991
"20205",254391
"20206",93687
"20207",1434188
"20208",364782
"20209",1794561
"20210",504833
"20211",546167
"20212",107212
"20213",1518076
"20214",67186
"20215",336585
"20217",761281
"20218",176319
"20219",473065
"20220",980819
"20303",12705
"20304",4317
"20305",36548
"20306",1010
"20307",433
"20309",12540
"20321",314270
"20323",220313
"20324",40468
"20349",9638
"20350",23487
"20361",1050
"20362",226425
"20363",4175
"20382",68592
"20383",25561
"20384",41315
"20385",138539
"20386",15993
"20388",190127
"20402",130627
"20403",255451
"20404",163920
"20407",29107
"20409",21138
"20410",208970
"20411",9906
"20412",4003
"20413",17900
"20414",2966
"20415",191442
"20416",825252
"20417",4821
"20422",12006
"20423",27773
"20425",23398
"20429",16722
"20430",103
"20432",13053
"20446",54459
"20448",134033
"20450",-2058
"20451",4852
"20452",16847
"20481",68267
"20482",44918
"20485",391895
"20486",315073
"20521",180612
"20541",680276
"20543",29401
"20561",304780
"20562",68322
"20563",109092
"20583",9589
"20588",22308
"20590",337176
"20602",28945
"21201",-938626
"21202",502873
"21203",767519
"21204",-139095
"21205",4772012
"21206",387849
"21207",12645
"21208",68193
"21209",-32549
"21210",52048
"21211",480770
"21212",-26193
"21213",167024
"21214",191165
"21215",441818
"21216",433394
"21217",1535760
"21218",508214
"21219",143311
"21220",369418
"21221",45583
"21302",73714
"21303",22304
"21341",963340
"21361",19634
"21362",88471
"21381",52846
"21382",-2034
"21383",6517
"21401",31060
"21403",13533
"21404",386614
"21421",-19078
"21501",261
"21502",46658
"21503",265720
"21504",109742
"21505",299042
"21506",31820
"21507",25066
"21521",78325
"21604",74176
"22100",-921846
"22130",26959
"22203",231353
"22205",328042
"22206",-94083
"22207",1488228
"22208",198880
"22209",96543
"22210",449416
"22211",577334
"22212",5049502
"22213",808432
"22214",342736
"22215",1077804
"22216",576274
"22219",185052
"22220",39777
"22221",195716
"22222",566480
"22223",13648
"22224",49490
"22225",300397
"22226",275007
"22301",157681
"22302",125659
"22304",163043
"22305",34830
"22306",1575730
"22325",-2268
"22341",-43302
"22342",-133067
"22344",301504
"22424",678878
"22429",21266
"22461",387097
"23100",-9913785
"23201",-577220
"23202",-853666
"23203",-629709
"23204",-200804
"23205",-197992
"23206",-391131
"23207",-206069
"23208",184094
"23209",2818243
"23210",-498757
"23211",-955263
"23212",-400523
"23213",304956
"23214",294151
"23215",623763
"23216",-57358
"23217",-157161
"23219",743781
"23220",-165674
"23221",-11879
"23222",-226719
