name,latitude,longitude,address
手稲星置店,43.13808013464586,141.22028517264258,北海道札幌市手稲区星置３条１－１－３０
函館松風店,41.771730593295416,140.73288681725873,北海道函館市松風町１１－１５
羊ヶ丘通清田店,42.99278628912813,141.43811295601228,北海道札幌市清田区真栄４７－１
新さっぽろサンピアザ店,43.037129262637976,141.47302787550356,北海道札幌市厚別区厚別中央二条５－７
札幌日生ビルチカホ店,43.065080204053636,141.350571956462,北海道札幌市中央区北三条西４丁目１－１日本生命札幌ビルＢ
イオンモール旭川駅前店,43.763008081172934,142.35717101023562,北海道旭川市宮下通７－２－５
千歳新富店,42.83663129954849,141.64096285522635,北海道千歳市新富３－２－１４
帯広白樺通店,42.91773306820558,143.14789662812905,北海道帯広市西二十条南３丁目２８－１５
北５西１８店,43.06387321072507,141.3275011112168,北海道札幌市中央区北５条西１８丁目９－１
釧路桂木店,43.0109389467843,144.40149441488006,北海道釧路郡釧路町桂木３－４
北見大町店,43.81616779098923,143.9068446745872,北海道北見市大町８６
太平６条店,43.13012519164424,141.35437099011403,北海道札幌市北区太平６条４－２－１７
菊水元町店,43.06981428974027,141.40835715210108,北海道札幌市白石区菊水元町５条２丁目３－２０
３６号札幌月寒店,43.018844337136656,141.40719396002098,北海道札幌市豊平区月寒東１条１５丁目９-１
苫小牧清水町店,42.649090164040736,141.59984788220555,北海道苫小牧市清水町１－４－１５
函館美原店,41.81463554270307,140.75429579384613,北海道函館市美原１－１７－１０
旭川豊岡４条通店,43.76046106892106,142.403469947428,北海道旭川市豊岡４条４丁目３－１９
西岡店,43.00484808816943,141.38485298413443,北海道札幌市豊平区西岡３条９－２－１０
環状通白石店,43.04371919981035,141.39348205561564,北海道札幌市白石区東札幌１条６丁目５－１
中央区役所前店,43.05670313913956,141.3411750008754,北海道札幌市中央区南二条西１１丁目３２８－２
江別３番通店,43.08666914782314,141.50076507746022,北海道江別市大麻北町５２１ー３３
苫小牧桜木町店,42.630367237724414,141.5512267919535,北海道苫小牧市桜木町３ー１８ー１６
フレスポ帯広店,42.89047304943188,143.19805158963462,北海道帯広市稲田町南８線西１０－１
弘前堅田店,40.61183976583156,140.48258668126374,青森県弘前市大字宮川１－２－４
青森東バイパス店,40.82681372898669,140.79517856077555,青森県青森市はまなす２－１－２８
１０２弘前店,40.59648263307058,140.5076557823998,青森県弘前市大字高田５－２－８
青森西バイパス店,40.83042776119284,140.70538868019852,青森県青森市三好２－２－１
イオンモール下田店,40.60273678445637,141.41642545257747,青森県上北郡おいらせ町中野平４０－１
