社名,株価換算係数,業種,セクター,証券コード,株価,換算株価,除数換算株価,ウエイト
エムスリー,2.4,サービス,消費,2413,1392,3340.8,11199.4636,0.1720
ヤマハ,3,その他製造,資本財・その他,7951,1091,3273,10972.1757,0.1686
三越伊勢丹ホールディングス,1,小売業,消費,3099,3220,3220,10794.5022,0.1658
三菱ＵＦＪフィナンシャル・グループ,1,銀行,金融,8306,3086,3086,10345.2900,0.1589
大成建設,0.2,建設,資本財・その他,1801,15175,3035,10174.3212,0.1563
電通グループ,1,サービス,消費,4324,3033,3033,10167.6165,0.1562
鹿島建設,0.5,建設,資本財・その他,1812,6019,3009.5,10088.8367,0.1550
ＺＯＺＯ,3,小売業,消費,3092,998,2994,10036.8756,0.1542
しずおかフィナンシャルグループ,1,銀行,金融,5831,2979,2979,9986.5907,0.1534
日本ハム,0.5,食品,消費,2282,5934,2967,9946.3627,0.1528
アマダ,1,機械,資本財・その他,6113,2890,2890,9688.2333,0.1488
ソシオネクスト,1,電気機器,技術,6526,2858,2858,9580.9588,0.1472
清水建設,1,建設,資本財・その他,1803,2797,2797,9376.4666,0.1440
日揮ホールディングス,1,建設,資本財・その他,1963,2791,2791,9356.3527,0.1438
キリンホールディングス,1,食品,消費,2503,2752,2752,9225.6118,0.1417
大日本印刷,1,その他製造,資本財・その他,7912,2720,2720,9118.3372,0.1401
クボタ,1,機械,資本財・その他,6326,2709,2709,9081.4616,0.1395
丸井グループ,1,小売業,消費,8252,2698,2698,9044.5860,0.1389
日本航空,1,空運,運輸・公共,9201,2687,2687,9007.7104,0.1384
出光興産,2,石油,素材,5019,1308,2616,8769.6949,0.1347
資生堂,1,化学,素材,4911,2547,2547,8538.3842,0.1312
ＳＵＢＡＲＵ,1,自動車,技術,7270,2447,2447,8203.1512,0.1260
協和キリン,1,医薬品,技術,4151,2399,2399,8042.2394,0.1236
ＴＯＰＰＡＮホールディングス,0.5,その他製造,資本財・その他,7911,4739,2369.5,7943.3456,0.1220
千葉銀行,1,銀行,金融,8331,2364,2364,7924.9078,0.1217
川崎汽船,0.9,海運,運輸・公共,9107,2519,2267.1,7600.0670,0.1168
アルプスアルパイン,1,電気機器,技術,6770,2180,2180,7308.0791,0.1123
ソフトバンク,10,通信,技術,9434,217,2170,7274.5558,0.1116
オリエンタルランド,1,サービス,消費,4661,2164,2164,7254.4418,0.1115
ＤＯＷＡホールディングス,0.2,非鉄・金属,素材,5714,10750,2150,7207.5092,0.1107
ＩＨＩ,0.7,機械,資本財・その他,7013,2980,2086,6992.9601,0.1074
日本郵政,1,サービス,消費,6178,2084,2084,6986.2554,0.1073
日本電気,0.5,電気機器,技術,6701,4086,2043,6848.8099,0.1052
日本電気硝子,0.3,窯業,素材,5214,6747,2024.1,6785.4509,0.1043
ジェイテクト,1,機械,資本財・その他,6473,2005,2005,6721.4214,0.1033
高島屋,1,小売業,消費,8233,1963,1963,6580.6235,0.1011
日清製粉グループ本社,1,食品,消費,2002,1942,1942,6510.2246,0.1000
レゾナック・ホールディングス,0.1,化学,素材,4004,19345,1934.5,6485.0821,0.0996
ニコン,1,精密機器,技術,7731,1917,1917,6426.4164,0.0987
三井住友フィナンシャルグループ,0.3,銀行,金融,8316,6077,1823.1,6111.6326,0.0939
ニチレイ,1,食品,消費,2871,1788,1788,5993.9658,0.0921
ヤマトホールディングス,1,陸運,運輸・公共,9064,1783,1783,5977.2042,0.0918
東海旅客鉄道,0.5,鉄道・バス,運輸・公共,9022,3547,1773.5,5945.3570,0.0913
旭化成,1,化学,素材,3407,1767,1767,5923.5669,0.0910
川崎重工業,0.5,造船,資本財・その他,7012,3377,1688.5,5660.4090,0.0870
東海カーボン,1,窯業,素材,5301,1680,1680,5631.9142,0.0865
横浜フィナンシャルグループ,1,銀行,金融,7186,1669,1669,5595.0386,0.0860
商船三井,0.3,海運,運輸・公共,9104,5553,1665.9,5584.6463,0.0858
サッポロホールディングス,1,食品,消費,2501,1654,1654,5544.7536,0.0852
日本製鋼所,0.2,機械,資本財・その他,5631,8264,1652.8,5540.7308,0.0851
オークマ,0.4,機械,資本財・その他,6103,4100,1640,5497.8210,0.0845
東京建物,0.5,不動産,資本財・その他,8804,3245,1622.5,5439.1552,0.0836
クラレ,1,化学,素材,3405,1603,1603,5373.7848,0.0826
京成電鉄,1.5,鉄道・バス,運輸・公共,9009,1067,1600.5,5365.4040,0.0824
日本郵船,0.3,海運,運輸・公共,9101,5252,1575.6,5281.9309,0.0812
住友ファーマ,1,医薬品,技術,4506,1548,1548,5189.4066,0.0797
ＮＩＰＰＯＮＥＸＰＲＥＳＳホールディングス,0.3,陸運,運輸・公共,9147,5043,1512.9,5071.7399,0.0779
ＮＴＴ,10,通信,技術,9432,150,1500,5028.4948,0.0773
大和証券グループ本社,1,証券,金融,8601,1498,1498,5021.7901,0.0772
ＩＮＰＥＸ,0.4,鉱業,素材,1605,3697,1478.8,4957.4254,0.0762
明治ホールディングス,0.4,食品,消費,2269,3612,1444.8,4843.4462,0.0744
リコー,1,電気機器,技術,7752,1434,1434,4807.2410,0.0738
ＡＧＣ,0.2,窯業,素材,5201,6999,1399.8,4692.5914,0.0721
ふくおかフィナンシャルグループ,0.2,銀行,金融,8354,6657,1331.4,4463.2920,0.0686
ニッスイ,1,水産,消費,1332,1330,1330,4458.5987,0.0685
東急不動産ホールディングス,1,不動産,資本財・その他,3289,1328,1328,4451.8941,0.0684
東ソー,0.5,化学,素材,4042,2627,1313.5,4403.2853,0.0677
東京瓦斯,0.2,ガス,運輸・公共,9531,6491,1298.2,4351.9946,0.0669
ＥＮＥＯＳホールディングス,1,石油,素材,5020,1289,1289,4321.1532,0.0664
野村ホールディングス,1,証券,金融,8604,1273,1273,4267.5159,0.0656
日本精工,1,機械,資本財・その他,6471,1228,1228,4116.6611,0.0632
東レ,1,繊維,素材,3402,1154,1154,3868.5887,0.0594
三井住友トラストグループ,0.2,銀行,金融,8309,5689,1137.8,3814.2809,0.0586
